ID,Condition,Age,Gender,Nationality,Education,Robot interaction,Robot movies,Robot control,Robot program,Mental rating,Physical rating,Temporal rating,Performance rating,Effort rating,Frustration rating,Mental tally,Physical tally,Temporal tally,Performance tally,Effort tally,Frustration tally,Mental weight,Physical weight,Temporal weight,Performance weight,Effort weight,Frustration weight,NASA overall,T1 Dependable,T1 Reliable,T1 Unresponsive,T1 Predictable,T1 ActConsistently,T1 FunctionSuccessfully,T1 Malfunction,T1 HaveErrors,T1 ProvideFeedback,T1 MeetTheNeeds,T1 ProvideAppropriateInformation,T1 CommunicateWithPeople,T1 Perform exactly as instructed,T1 Follow Directions,T2 Dependable,T2 Reliable,T2 Unresponsive,T2 Predictable,T2 ActConsistently,T2 FunctionSuccessfully,T2 Malfunction,T2 HaveErrors,T2 ProvideFeedback,T2 MeetTheNeeds,T2 ProvideAppropriateInformation,T2 CommunicateWithPeople,T2 Perform exactly as instructed,T2 Follow Directions,G1 UserScore,G1 RobotScore,G1 UserMistake,G1 RobotMistake,G1 Missed,G1 Total,G2 UserScore,G2 RobotScore,G2 UserMistake,G2 RobotMistake,G2 Missed,G2 Total,Godspeed Incompetent, Godspeed Mechanical,Godspeed Irresponsible,Godspeed  Unconscious,Godspeed Foolish,Godspeed Unpleasant,Godspeed  Ignorant,Godspeed  Artificial,Godspeed Unintelligent,Godspeed Inert,Godspeed Anxious,Godspeed Happy,Godspeed Quiescent,Godspeed Bored,Godspeed Agitated,Godspeed Angry,R1 Missed Yellow,R1 Missed Red,R1 Missed Green,R1 User Correct Yellow,R1 User Correct Red,R1 User Correct Green,R1 Robot Correct Yellow,R1 Robot Correct Red,R1 Robot Correct Green,R1 User Incorrect Yellow,R1 User Incorrect Red,R1 User Incorrect Green,R1 Robot Incorrect Yellow,R1 Robot Incorrect Red,R1 Robot Incorrect Green,R1 total color mistake prevented,R1 total grasp mistake prevented,R2 Missed Yellow,R2 Missed Red,R2 Missed Green,R2 User Correct Yellow,R2 User Correct Red,R2 User Correct Green,R2 Robot Correct Yellow,R2 Robot Correct Red,R2 Robot Correct Green,R2 User Incorrect Yellow,R2 User Incorrect Red,R2 User Incorrect Green,R2 Robot Incorrect Yellow,R2 Robot Incorrect Red,R2 Robot Incorrect Green,R2 total color mistake prevented,R2 total grasp mistake prevented,R1 red itchy zone mistake correctsort,R1 green itchy zone mistake correctsort,R1 red prevention zone mistake correctsort,R1 green prevention zone mistake correctsort,R1 red robot zone mistake correctsort,R1 green robot zone mistake correctsort,R1 red cleanup zone mistake correctsort,R1 green cleanup zone mistake correctsort,R2 red itchy zone mistake correctsort,R2 green itchy zone mistake correctsort,R2 red prevention zone mistake correctsort,R2 green prevention zone mistake correctsort,R2 red robot zone mistake correctsort,R2 green robot zone mistake correctsort,R2 red cleanup zone mistake correctsort,R2 green cleanup zone mistake correctsort,R1 avg dist prevent red,R1 avg dist prevent green,R2 avg dist prevent red,R2 avg dist prevent green,R1 total can avg distance green,R1 total can avg distance yellow,R1 total can avg distance red,R2 total can avg distance green,R2 total can avg distance yellow,R2 total can avg distance red,R1 red itchy zone all correctsort,R1 green itchy zone all correctsort,R1 yellow itchy zone all correctsort,R1 red prevention zone all correctsort,R1 green prevention zone all correctsort,R1 yellow prevention zone all correctsort,R1 red robot zone all correctsort,R1 green robot zone all correctsort,R1 yellow robot zone all correctsort,R1 red cleanup zone all correctsort,R1 green cleanup zone all correctsort,R1 yellow cleanup zone all correctsort,R2 red itchy zone all correctsort,R2 green itchy zone all correctsort,R2 yellow itchy zone all correctsort,R2 red prevention zone all correctsort,R2 green prevention zone all correctsort,R2 yellow prevention zone all correctsort,R2 red robot zone all correctsort,R2 green robot zone all correctsort,R2 yellow robot zone all correctsort,R2 red cleanup zone all correctsort,R2 green cleanup zone all correctsort,R2 yellow cleanup zone all correctsort
11,visual,26,Male,Brazilian,MSc,None,More than 10,None,None,65,15,50,25,40,10,5,1,4,2,3,0,0.333,0.0666,0.2666,0.1333,0.2,0,47.3333333,60,80,30,80,90,80,20,20,0,60,80,0,80,60,40,80,40,70,90,80,0,30,80,40,80,60,40,60,25,26,0,4,0,47,25,30,0,0,0,55,3,1,3,1,2,5,4,1,3,4,3,1,4,4,3,5,0,0,0,13,5,7,0,5,8,0,0,0,0,1,1,5,8,0,0,0,10,8,7,0,5,10,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,visual,28,Male,Danish,MSc,More than 10,More than 10,Between 2 and 5,None,65,80,15,20,65,20,2,4,2,5,2,0,0.13333,0.26666,0.1333,0.33333,0.13333,0,47.3333333,70,70,0,50,100,100,0,30,100,70,100,90,100,100,60,80,10,90,100,70,10,30,20,60,100,100,60,70,24,24,1,0,3,44,26,24,0,4,0,46,3,1,4,3,4,3,3,1,4,5,5,2,4,5,5,5,0,3,0,12,2,10,0,6,6,0,0,1,0,0,0,5,6,0,0,0,10,6,10,0,6,6,0,0,0,0,1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,written,26,Female,Bulgarian,MSc,None,More than 10,None,None,40,35,5,25,20,15,5,4,1,2,3,0,0.333,0.266666,0.06666,1.3333333,0.2,0,30.3333333,20,60,20,90,90,80,40,10,50,80,80,50,100,100,80,80,20,70,80,70,10,10,50,70,70,60,80,100,24,26,0,2,2,46,24,22,0,10,0,36,3,1,4,4,4,5,4,1,5,5,5,1,4,5,4,5,0,2,0,12,3,9,0,6,7,0,0,0,1,0,0,5,7,0,0,0,8,7,9,0,4,7,0,0,0,2,2,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,written,29,Male,Hungarian,MSc,Between 1 and 2,Between 2 and 5,Between 1 and 2,None,60,25,70,65,65,65,4,0,3,3,1,4,0.2666,0,0.2,0.2,0.06666,0.26666,64.66666,10,90,0,90,90,90,10,10,100,90,90,90,90,90,30,70,30,70,70,70,20,20,70,70,70,70,70,70,28,20,0,4,0,44,22,24,0,10,1,35,3,2,3,3,3,3,3,1,3,3,3,3,2,3,3,3,0,0,0,12,5,11,0,6,4,0,0,0,1,0,1,5,8,0,0,1,8,6,8,0,5,7,0,0,0,2,2,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,visual,24,Male,Indian,BSc,More than 10,Between 5 and 10,More than 10,More than 10,70,35,75,5,75,70,4,1,4,4,1,1,0.266666,0.06666,0.2666666,0.266666,0.06666,0.0666666,52,90,80,30,80,90,90,20,30,30,90,40,30,90,90,60,60,60,30,60,60,40,70,30,60,30,30,60,70,35,6,1,2,0,38,24,32,0,0,0,56,4,2,3,2,3,4,2,2,4,2,2,3,4,4,3,3,0,0,0,12,9,14,0,2,1,0,1,0,1,0,0,5,8,0,0,0,10,7,7,0,6,10,0,0,0,0,0,0,7,8,0,0,4,2,0,0,0,0,0,0,5,2,2,2,0,0,1.547998981,1.665625042,0.967198658,1.306433006,1.719480292,1.557319253,1.649555671,1.078453719,1.276321082,1.382864506,0,0,0,8,13,9,1,1,3,0,0,0,0,0,0,12,16,14,4,3,8,0,2,0
16,visual,27,Male,Swiss,BSc,More than 10,Between 5 and 10,More than 10,Between 2 and 5,85,15,95,75,85,100,4,0,5,2,1,3,0.266666,0,0.333333,0.1333333,0.066666666,0.2,90,70,100,0,80,90,80,10,10,0,80,0,0,80,0,60,90,0,80,80,60,10,0,0,60,0,0,0,0,27,22,0,2,1,46,23,30,0,4,0,49,3,1,4,1,3,3,1,1,2,2,3,3,2,3,3,2,0,0,1,13,6,8,0,4,7,0,0,0,0,1,0,5,8,0,0,0,9,6,8,0,6,9,0,0,0,1,1,0,5,8,0,0,1,0,2,1,0,1,0,0,2,0,3,1,0,3,0.813601464,0.987984924,0.343197808,1.267249101,0.695593766,0.917667583,0.818025411,0.694099835,1.139467143,1.257127718,0,0,0,1,1,2,3,1,7,2,6,4,0,0,0,3,3,6,6,2,11,3,11,5
17,written,27,Male,Dutch,MSc,Between 1 and 2,More than 10,None,None,5,15,15,25,10,10,2,4,2,5,2,0,0.1333,0.2666,0.1333,0.333,0.1333,0,16.333,60,70,30,70,100,50,20,20,50,70,70,70,100,50,80,50,50,60,70,50,30,30,0,50,0,0,70,20,28,20,0,4,0,44,29,18,0,4,0,43,4,2,4,1,4,4,3,1,3,2,5,2,2,4,5,5,0,0,0,11,5,12,0,6,4,0,0,0,2,0,0,5,8,0,0,0,10,8,11,0,3,6,0,0,0,0,2,0,5,8,0,0,1,3,1,0,2,0,0,0,2,4,1,0,2,1,1.692001045,0.880761844,1.135199748,1.783223946,1.664044748,1.153988227,0.986083743,1.623604958,1.739040711,1.68349718,0,0,0,2,11,7,1,1,2,2,0,2,0,0,0,10,21,17,1,1,2,2,1,2
18,written,26,Male,Danish,BSc,Between 2 and 5,More than 10,Between 2 and 5,None,40,45,40,55,45,25,1,2,3,5,4,0,0.066,0.1333,0.2,0.333,0.2666,0,47,50,30,10,20,20,50,10,10,40,50,30,0,50,80,20,30,0,80,80,60,20,20,100,50,100,100,70,50,38,2,1,0,0,39,28,18,0,4,1,41,2,2,3,3,3,3,3,2,3,2,4,1,2,4,4,4,0,0,0,12,10,16,0,1,0,0,0,1,0,0,0,7,8,1,0,0,8,9,11,0,3,6,0,0,0,1,1,0,5,8,1,2,3,1,0,0,0,0,1,2,5,3,0,0,0,0,2.171999334,1.999059877,1.687198489,1.804849673,2.035380228,2.027177319,1.960222644,1.562103326,1.530000624,1.763391901,1,5,2,9,11,10,0,0,0,0,0,0,1,5,2,18,20,17,0,1,1,0,1,0
19,written,28,Male,Hungarian,BSc,More than 10,Between 2 and 5,More than 10,More than 10,30,10,45,15,30,30,0,1,5,4,2,3,0,0.0666,0.333,0.2666,0.1333,0.2,29.666,60,50,50,50,70,60,50,50,80,50,80,50,50,80,70,60,20,80,70,70,30,30,20,70,20,0,70,80,31,10,0,2,3,36,24,26,0,6,0,44,4,1,4,2,3,3,3,2,3,1,4,3,4,3,3,3,1,2,0,12,3,16,0,5,0,0,0,0,0,1,0,5,7,0,0,0,9,5,10,0,6,7,0,0,0,1,2,0,4,8,0,0,1,3,0,0,0,0,0,0,1,4,1,0,0,1,1.717600443,1.744620568,0.967199893,0.909703411,1.711973014,1.502650179,1.495199182,1.406446873,1.4616006,1.444196801,0,0,0,2,16,9,1,0,3,0,0,0,0,0,0,6,24,16,2,0,5,0,2,0
20,visual,56,Female,Danish,BSc,Between 1 and 2,More than 10,Between 5 and 10,None,55,20,70,70,65,70,4,1,3,4,0,3,0.266,0.0666,0.2,0.2666,0,0.2,62.666,100,100,80,40,80,100,90,90,30,100,80,50,100,100,30,30,50,40,20,70,20,20,80,50,70,50,50,50,22,16,0,2,9,27,24,26,1,4,0,45,4,1,4,2,3,3,3,1,2,2,2,2,4,4,3,3,5,3,1,7,4,11,0,4,4,0,0,0,1,0,0,4,6,0,0,0,8,7,9,0,5,8,0,0,1,1,1,0,4,8,0,0,1,3,0,0,0,0,0,0,3,5,0,0,0,0,1.458401344,2.013311144,1.547999094,1.656015472,1.41112728,1.397384775,1.558073825,1.556969865,1.473600864,1.691912109,0,0,0,4,8,3,0,3,4,0,0,0,0,0,0,11,17,10,0,3,5,0,0,0
21,control,23,Male,Danish,MSc,More than 10,More than 10,More than 10,None,15,10,15,60,15,20,2,1,2,5,1,4,0.1333,0.0666,0.1333,0.333,0.0666,0.2666,31,100,100,50,90,100,100,0,0,50,100,50,50,100,100,60,60,60,60,70,60,20,20,0,70,60,20,70,70,20,24,1,2,6,35,22,24,0,4,4,38,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,1,5,0,12,0,8,0,6,6,1,0,0,0,0,1,4,4,0,4,0,10,0,12,0,7,5,0,0,0,0,2,0,5,4,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0.957601639,nan,1.951200121,nan,1.376702299,1.451397571,nan,1.635242819,1.879200587,nan,0,0,0,0,5,9,0,2,2,0,1,1,0,0,0,0,16,19,0,3,2,0,1,1
22,all,24,Male,Russian,MSc,Between 5 and 10,Between 5 and 10,Between 1 and 2,None,75,65,60,50,65,50,3,2,2,2,2,4,0.2,0.1333,0.1333,0.1333,0.1333,0.2666,60.3333,50,70,20,90,80,10,20,10,50,70,70,80,90,90,60,40,70,80,60,60,70,70,70,80,40,60,60,70,38,4,0,0,0,42,20,22,1,12,2,27,3,4,3,2,3,4,3,2,4,3,4,3,4,4,4,3,0,0,0,13,10,15,0,1,1,0,0,0,0,0,0,7,8,0,1,1,6,5,9,0,5,6,0,1,0,3,2,1,1,8,0,0,3,3,1,0,0,0,0,0,4,3,1,1,0,0,2.063199345,1.535968263,0.933601587,1.312831067,1.794691805,1.7272137,1.630990702,1.165117608,1.103200796,1.050705578,0,0,0,9,13,12,1,2,1,0,0,0,0,0,0,10,16,14,4,8,5,1,0,0
23,control,30,Male,Rwanda,MSc,None,Between 1 and 2,None,None,15,60,45,50,35,25,0,4,5,3,1,2,0,0.2666,0.333,0.2,0.0666,0.1333,46.666,30,50,20,70,50,60,30,20,70,80,50,50,60,60,10,50,80,90,90,80,10,20,80,50,70,40,80,80,14,24,2,0,13,23,35,2,1,4,1,31,4,3,5,5,5,4,5,1,5,3,4,2,3,4,4,4,7,3,3,5,2,7,0,6,6,0,0,0,1,0,0,2,6,1,0,0,6,12,17,0,1,0,0,0,1,2,0,0,5,8,0,0,1,0,1,1,0,0,0,0,4,2,1,1,0,0,0.981602431,1.274395496,1.893599184,1.744825036,1.104700031,0.991554409,1.274395496,1.711544973,1.653601559,1.775949385,0,0,0,1,2,0,1,5,4,0,0,1,0,0,0,12,18,5,2,6,5,0,0,1
24,all,35,Male,Kurdish,BSc,None,Between 1 and 2,None,None,65,80,75,50,65,70,4,0,4,4,1,2,0.2666,0,0.2666,0.2666,0.0666,0.1333,64.333,20,20,30,30,20,20,20,70,40,30,40,30,20,20,40,40,40,30,50,50,50,50,40,40,50,30,40,30,26,10,2,6,4,24,18,20,1,10,6,21,3,2,2,2,2,3,3,3,3,2,2,3,3,4,2,3,3,0,1,7,7,12,0,2,3,0,0,2,2,1,0,4,7,4,0,2,3,8,7,0,3,7,0,0,1,2,2,1,2,6,0,0,3,1,0,2,0,0,0,0,4,1,0,2,0,1,1.276000805,1.483949087,0.597603953,1.428007503,1.520286559,1.405472083,1.401967458,1.459149372,1.372000912,1.400304528,0,0,0,6,9,5,1,3,2,0,0,0,0,0,0,13,15,7,2,3,3,0,1,0
25,all,31,Female,Romanian,MSc,More than 10,More than 10,More than 10,More than 10,70,35,25,5,20,15,5,1,2,4,3,0,0.333,0.0666,0.1333,0.2666,0.2,0,34.333,90,90,10,100,90,80,0,50,0,80,10,10,80,80,0,0,50,20,0,90,0,0,100,90,100,100,10,10,31,12,0,2,2,39,27,22,0,4,0,45,2,1,1,1,3,3,3,1,3,3,5,1,4,5,5,5,0,2,0,13,2,16,0,6,0,0,0,0,0,1,0,5,7,0,0,0,10,5,12,0,6,5,0,0,0,0,2,0,5,8,0,0,0,3,1,0,1,0,0,0,1,4,1,0,1,1,1.717601085,0.770562002,1.11120009,1.447205384,1.702400139,1.490591642,0.770562002,1.395362907,1.578721189,1.269471837,0,0,0,0,14,12,1,2,1,1,0,0,0,0,0,3,23,21,3,4,2,1,1,0
